thick,crossplane,y,x,r,temp
3.981084079890499e-06,7.987958069262559,1,2,0.3,300
5.0118564594929265e-06,8.180820984481885,1,2,0.3,300
6.309588051730517e-06,8.355192655018495,1,2,0.3,300
7.94321936752034e-06,8.510314684435164,1,2,0.3,300
9.999948636556131e-06,8.642176529142414,1,2,0.3,300
1.2589290544188212e-05,8.766712540320036,1,2,0.3,300
1.5848827088192312e-05,8.842820131126174,1,2,0.3,300
1.9952547891018234e-05,8.956053026005378,1,2,0.3,300
2.5118977189780607e-05,9.010076966505386,1,2,0.3,300
3.16228365252179e-05,9.075803625169861,1,2,0.3,300
3.981073214849971e-05,9.104504296194358,1,2,0.3,300
5.011872844305659e-05,9.138724890201559,1,2,0.3,300
6.309568078077373e-05,9.18460392776962,1,2,0.3,300
7.943277601052454e-05,9.204007707204937,1,2,0.3,300
0.00010000001504025063,9.220330472053515,1,2,0.3,300
1.2550515112133406e-09,0.783336820309687,1,2,0.5,400
1.644259469170824e-09,0.8821641870126632,1,2,0.5,400
1.972826000985713e-09,0.984640685689737,1,2,0.5,400
2.5300976601275303e-09,1.1029640432112844,1,2,0.5,400
3.1318788673316335e-09,1.215898994751542,1,2,0.5,400
3.936622852688086e-09,1.3454009190325356,1,2,0.5,400
5.14571404842117e-09,1.458376512471565,1,2,0.5,400
6.354221513694764e-09,1.5960407369425909,1,2,0.5,400
7.910237570405761e-09,1.7507238979858815,1,2,0.5,400
1.0009278028145899e-08,1.9157209989051243,1,2,0.5,400
1.2605798821408611e-08,2.0729351411821733,1,2,0.5,400
1.5826660111750705e-08,2.250023945133969,1,2,0.5,400
1.994133107548642e-08,2.4365566716439155,1,2,0.5,400
2.5136733321230164e-08,2.6631371202060836,1,2,0.5,400
3.158703608014894e-08,2.8684983506237667,1,2,0.5,400
3.97446774518571e-08,3.1077106415746987,1,2,0.5,400
5.0089608147377646e-08,3.3112007333958977,1,2,0.5,400
6.304774343380733e-08,3.5875552034429337,1,2,0.5,400
7.941184502812156e-08,3.851571225239248,1,2,0.5,400
1.0001517395102086e-07,4.127418359809318,1,2,0.5,400
1.2590123787902816e-07,4.414070802732714,1,2,0.5,400
1.5853131387060087e-07,4.720385074382579,1,2,0.5,400
1.994861725548887e-07,5.0550898437933816,1,2,0.5,400
2.5119462935243397e-07,5.366042370716019,1,2,0.5,400
3.1626066582880584e-07,5.692158960706083,1,2,0.5,400
3.981432272471947e-07,6.060937543999968,1,2,0.5,400
5.010923319027659e-07,6.395136949492784,1,2,0.5,400
6.310111482509917e-07,6.694878155739598,1,2,0.5,400
7.942576661029934e-07,7.059934891897214,1,2,0.5,400
9.99951285477697e-07,7.40295774320179,1,2,0.5,400
1.2588815574001045e-06,7.727049294256176,1,2,0.5,400
1.5848831838746563e-06,8.033213165715253,1,2,0.5,400
1.9951765110823536e-06,8.321797241534659,1,2,0.5,400
2.511852352122139e-06,8.627983632785831,1,2,0.5,400
3.1622325497734556e-06,8.856822364422834,1,2,0.5,400
3.981130987316942e-06,9.085930557723787,1,2,0.5,400
5.011909477611672e-06,9.310837759679458,1,2,0.5,400
6.309536636190153e-06,9.47105097878849,1,2,0.5,400
7.943397458790535e-06,9.685339563837205,1,2,0.5,400
9.999962048356888e-06,9.802475287920734,1,2,0.5,400
1.2589369480818832e-05,9.90375856182419,1,2,0.5,400
1.5848887783656852e-05,10.000570274621811,1,2,0.5,400
1.9952558996539952e-05,10.082510492347257,1,2,0.5,400
2.5118809839617654e-05,10.161608126483413,1,2,0.5,400
3.1622872165787646e-05,10.19594715950599,1,2,0.5,400
3.981068441182329e-05,10.236571923318282,1,2,0.5,400
5.0118641105521335e-05,10.274978189686387,1,2,0.5,400
6.309578376161238e-05,10.309518334398382,1,2,0.5,400
7.943279257178761e-05,10.33288588761683,1,2,0.5,400
0.00010000003011794537,10.34563144555739,1,2,0.5,400
1.2824066133168287e-09,0.9721720619154215,2,1,0.1,400
1.6163784483619775e-09,1.0814354979522123,2,1,0.1,400
2.051931948191376e-09,1.2035398874204,2,1,0.1,400
2.4450416247017904e-09,1.3231399081431707,2,1,0.1,400
3.2154111624968016e-09,1.452873797538731,2,1,0.1,400
3.9650955850337196e-09,1.554461619577235,2,1,0.1,400
4.99672336003005e-09,1.727501900618996,2,1,0.1,400
6.294707860860942e-09,1.8413436825014613,2,1,0.1,400
7.955628675769446e-09,1.9859000760165628,2,1,0.1,400
1.0021330410659e-08,2.104266117864576,2,1,0.1,400
1.2553411820882956e-08,2.2561122780038305,2,1,0.1,400
1.585729864802594e-08,2.3919794625896746,2,1,0.1,400
1.997272685845056e-08,2.5153225622679067,2,1,0.1,400
2.5141707018483e-08,2.6416261985459486,2,1,0.1,400
3.164434035700965e-08,2.8138391590614518,2,1,0.1,400
3.9774062281113654e-08,2.92367517307532,2,1,0.1,400
5.0110012122004734e-08,3.082153924916526,2,1,0.1,400
6.313297295564785e-08,3.2227059461721588,2,1,0.1,400
